Mantra Number,Mantra,Chanda,Devata,Rishi,Padpath,URL,ScrapedAtUTC
282,इ꣢न्द्र꣣ ने꣡दी꣢य꣣ ए꣡दि꣢हि मि꣣त꣡मे꣢धाभिरू꣣ति꣡भिः꣢ । आ꣡ शं꣢तम꣣ शं꣡त꣢माभिर꣣भि꣡ष्टि꣢भि꣣रा꣡ स्वा꣢꣯पे꣢꣯ स्वा꣣पि꣡भिः꣢ ॥२८२॥,बृहती,इन्द्रः,मेध्यः काण्वः,इ꣡न्द्र꣢꣯ । ने꣡दी꣢꣯यः । आ । इत् । इ꣣हि । मित꣡मे꣢धाभिः । मि꣣त꣢ । मे꣣धाभिः । ऊति꣡भिः꣢ । आ । श꣣न्तम । श꣡न्त꣢꣯माभिः । अ꣣भि꣡ष्टि꣢भिः । आ । स्वा꣢पे । सु । आपे । स्वापि꣡भिः꣢ । सु꣣ । आपि꣡भिः꣢ ।  ॥२८२॥,https://www.xn--j2b3a4c.com/samveda/282,2025-12-06T06:49:36.577991
283,इ꣣त꣢ ऊ꣣ती꣡ वो꣢ अ꣣ज꣡रं꣢ प्रहे꣣ता꣢र꣣म꣡प्र꣢हितम् । आ꣣शुं꣡ जेता꣢꣯र꣣ꣳ हे꣡ता꣢रꣳ र꣣थी꣡त꣢म꣣म꣡तू꣢र्तं तुग्रिया꣣वृ꣡ध꣢म् ॥२८३॥,बृहती,इन्द्रः,नृमेध आङ्गिरसः,इ꣣तः꣢ । ऊ꣣ती꣢ । वः꣣ । अजर꣡म्꣢ । अ꣣ । ज꣡र꣢꣯म् । प्रहे꣣ता꣡र꣢म् । प्र । हेता꣡र꣢म् । अ꣡प्र꣢꣯हितम् । अ । प्र꣣हितम् । आशु꣢म् । जे꣡ता꣢꣯रम् । हे꣡ता꣢꣯रम् । र꣣थी꣡त꣢मम् । अ꣡तू꣢꣯र्तम् । अ । तू꣣र्तम् । तुग्रियावृ꣡ध꣢म् । तु꣣ग्रिय । वृ꣡ध꣢꣯म् ॥२८३॥,https://www.xn--j2b3a4c.com/samveda/283,2025-12-06T06:49:38.407674
284,मो꣡ षु त्वा꣢꣯ वा꣣घ꣡त꣢श्च꣣ ना꣢꣫रे अ꣣स्म꣡न्नि री꣢꣯रमन् । आ꣣रा꣡त्ता꣣द्वा सध꣣मा꣡दं꣢ न꣣ आ꣡ ग꣢ही꣣ह꣢ वा꣣ स꣡न्नुप꣢꣯ श्रुधि ॥२८४॥,बृहती,इन्द्रः,वसिष्ठो मैत्रावरुणिः,मा꣢ । उ꣣ । सु꣢ । त्वा꣣ । वाघ꣡तः꣢ । च꣣ । न꣢ । आ꣣रे꣢ । अ꣣स्म꣢त् । नि । री꣣रमन् । आरा꣡त्ता꣢त् । वा꣣ । सधमा꣡द꣢म् । स꣣ध । मा꣡द꣢꣯म् । नः꣣ । आ꣢ । ग꣣हि । इह꣢ । वा꣣ । स꣢न् । उ꣡प꣢꣯ । श्रु꣣धि ॥२८४॥,https://www.xn--j2b3a4c.com/samveda/284,2025-12-06T06:49:41.435639
286,यः꣡ स꣢त्रा꣣हा꣡ विच꣢꣯र्षणि꣣रि꣢न्द्रं꣣ त꣡ꣳ हूम꣢हे व꣣य꣢म् । स꣡ह꣢स्रमन्यो तुविनृम्ण सत्पते꣣ भ꣡वा꣢ स꣣म꣡त्सु꣢ नो वृ꣣धे꣢ ॥२८६॥,बृहती,इन्द्रः,भरद्वाजो बार्हस्पत्यः,यः꣢ । स꣣त्राहा꣢ । स꣣त्रा । हा꣢ । वि꣡च꣢꣯र्षणिः । वि । च꣣र्षणिः । इन्द्र꣣म् । तम् । हू꣣महे । वय꣢म् । स꣡ह꣢꣯स्रमन्यो । स꣡ह꣢꣯स्र । म꣣न्यो । तुविनृम्ण । तुवि । नृम्ण । सत्पते । सत् । पते । भ꣡व꣢꣯ । स꣣म꣡त्सु꣢ । स꣣ । म꣡त्सु꣢꣯ । नः꣣ । वृधे꣢ ॥२८६॥,https://www.xn--j2b3a4c.com/samveda/286,2025-12-06T06:49:44.043696
289,पा꣣हि꣡ गा अन्ध꣢꣯सो꣣ म꣢द꣣ इ꣡न्द्रा꣢य मेध्यातिथे । यः꣡ सम्मि꣢꣯श्लो ह꣢र्यो꣣र्यो꣡ हि꣢र꣣ण्य꣢य꣣ इ꣡न्द्रो꣢ व꣣ज्री꣡ हि꣢र꣣ण्य꣡यः꣢ ॥२८९॥,बृहती,इन्द्रः,मेध्यातिथिः काण्वः,पा꣣हि꣢ । गाः । अ꣡न्ध꣢꣯सः । म꣡दे꣢꣯ । इ꣡न्द्रा꣢꣯य । मे꣣ध्यातिथे । मेध्य । अतिथे । यः꣢ । स꣡म्मि꣢꣯श्लः । सम् । मि꣣श्लः । ह꣡र्योः꣢꣯ । यः । हि꣣रण्य꣡यः । इ꣡न्द्रः꣢꣯ । व꣣ज्री꣢ । हि꣣रण्य꣡यः꣢ ॥२८९॥,https://www.xn--j2b3a4c.com/samveda/289,2025-12-06T06:49:49.260166
290,उ꣣भ꣡य꣢ꣳ शृ꣣ण꣡व꣢च्च न꣣ इ꣡न्द्रो꣢ अ꣣र्वा꣢गि꣣दं꣡ वचः꣢꣯ । स꣣त्रा꣡च्या꣢ म꣣घ꣢वा꣣न्त्सो꣡म꣢पीतये धि꣣या꣡ शवि꣢꣯ष्ठ꣣ आ꣡ ग꣢मत् ॥२९०॥,बृहती,इन्द्रः,भर्गः प्रागाथः,उ꣣भ꣡य꣢म् । शृ꣣ण꣡व꣢त् । च꣣ । नः । इ꣡न्द्रः꣢꣯ । अ꣣र्वा꣢क् । इ꣣द꣢म् । व꣡चः꣢꣯ । स꣣त्रा꣡च्या꣢ । स꣣त्रा꣢ । च्या꣣ । मघ꣡वा꣢न् । सो꣡म꣢꣯पीतये । सो꣡म꣢꣯ । पी꣣तये । धिया꣣ । श꣡वि꣢꣯ष्ठः । आ । ग꣣मत् ॥२९०॥,https://www.xn--j2b3a4c.com/samveda/290,2025-12-06T06:49:51.006695
291,म꣣हे꣢ च꣣ न꣢ त्वा꣢द्रिवः꣣ प꣡रा꣢ शु꣣ल्का꣡य꣢ दीयसे । न꣢ स꣣ह꣡स्रा꣢य꣣ ना꣡युता꣢꣯य वज्रिवो꣣ न꣢ श꣣ता꣡य꣢ शतामघ ॥२९१॥,बृहती,इन्द्रः,मेधातिथि0मेध्यातिथी काण्वौ,म꣣हे꣢ । च꣣ । न꣢ । त्वा꣣ । अद्रिवः । अ । द्रिवः । प꣡रा꣢꣯ । शु꣣ल्का꣡य꣢ । दी꣣यसे । न꣢ । स꣣ह꣡स्रा꣢य । न । अ꣣यु꣡ता꣢य । अ꣣ । यु꣡ता꣢꣯य । व꣣ज्रिवः । न꣢ । श꣣ता꣡य꣢ । श꣣तामघ । शत । मघ ॥२९१॥,https://www.xn--j2b3a4c.com/samveda/291,2025-12-06T06:49:53.366381
292,व꣡स्या꣢ꣳ इन्द्रासि मे पि꣣तु꣢रु꣣त꣢꣫ भ्रातु꣣र꣡भु꣢ञ्जतः । मा꣣ता꣡ च꣢ मे छदयथः स꣣मा꣡ व꣢सो वसुत्व꣣ना꣢य꣣ रा꣡ध꣢से ॥२९२,बृहती,इन्द्रः,मेधातिथि0मेध्यातिथी काण्वौ,व꣡स्या꣢न् । इ꣢न्द्र । असि । मे । पितुः꣢ । उ꣢त꣢ । भ्रा꣡तुः꣢ । अ꣡भु꣢ञ्जतः । अ । भु꣢ञ्जतः । माता꣢ । च꣢ । मे । छदयथः । समा꣢ । स꣢ । मा꣢ । व꣢सो । वसुत्वना꣡य꣢ । रा꣡ध꣢से ॥२९२॥,https://www.xn--j2b3a4c.com/samveda/292,2025-12-06T06:49:54.916125
294,इ꣣म꣡ इ꣡न्द्र꣣ म꣡दा꣢य ते꣣ सो꣡मा꣢श्चिकित्र उ꣣क्थि꣢नः꣣ । म꣡धोः꣢ पपा꣣न꣡ उप꣢꣯ नो꣣ गि꣡रः꣢ शृणु꣣ रा꣡स्व꣢ स्तो꣣त्रा꣡य꣢ गिर्वणः ॥२९४,बृहती,इन्द्रः,वामदेवो गौतमः,इ꣣मे꣢ । इ꣣न्द्र । म꣡दा꣢꣯य । ते꣣ । सो꣡माः꣢꣯ । चि꣣कित्रे । उक्थि꣡नः꣢ । म꣡धोः꣢꣯ । प꣣पानः꣢ । उ꣡प꣢꣯ । नः꣣ । गि꣡रः꣢꣯ । शृ꣣णु । रा꣡स्व꣢꣯ । स्तो꣣त्रा꣡य꣢ । गि꣣र्वणः । गिः । वनः ॥२९४॥,https://www.xn--j2b3a4c.com/samveda/294,2025-12-06T06:49:58.944122
295,आ꣡ त्वा꣢३꣱द्य꣡ स꣢ब꣣र्दु꣡घा꣢ꣳ हु꣣वे꣡ गा꣢य꣣त्र꣡वे꣢पसम् । इ꣡न्द्रं꣢ धे꣣नु꣢ꣳ सु꣣दु꣢घा꣣म꣢न्या꣣मि꣡ष꣢मु꣣रु꣡धा꣢रामर꣣ङ्कृ꣡त꣢म् ॥२९५॥,बृहती,इन्द्रः,मेधातिथि0मेध्यातिथी काण्वौ विश्वामित्र इत्येके,आ꣢ । तु । अ꣣द्य꣢ । अ꣣ । द्य꣢ । स꣣ब꣡र्दुघाम् । स꣣बः । दु꣡घा꣢꣯म् । हु꣣वे꣢ । गा꣣यत्र꣡वे꣢पसम् । गा꣣यत्र꣢ । वे꣣पसम् । इ꣡न्द्र꣢꣯म् । धे꣣नु꣢म् । सु꣣दु꣡घा꣣म् । सु꣣ । दु꣡घा꣢꣯म् । अ꣡न्या꣢꣯म् । इ꣡ष꣢꣯म् । उ꣣रु꣡धा꣢राम् । उ꣣रु꣢ । धा꣣राम् । अरङ्कृ꣡त꣢म् । अ꣣रम् । कृ꣡त꣢꣯म् ॥२९५॥,https://www.xn--j2b3a4c.com/samveda/295,2025-12-06T06:50:01.227791
296,न꣡ त्वा꣢ बृ꣣ह꣢न्तो꣣ अ꣡द्र꣢यो꣣ व꣡र꣢न्त इन्द्र वी꣣ड꣡वः꣢ । य꣡च्छिक्ष꣢꣯सि स्तुव꣣ते꣡ माव꣢꣯ते꣣ व꣢सु꣣ न꣢ कि꣣ष्ट꣡दा मि꣢꣯नाति ते ॥२९६॥,बृहती,इन्द्रः,नोधा गौतमः,न꣢ । त्वा꣣ । बृह꣡न्तः꣢ । अ꣡द्र꣢꣯यः । अ । द्र꣢यः । व꣡र꣢꣯न्ते । इ꣣न्द्र । वीड꣡वः꣢ । यत् । शि꣡क्ष꣢꣯सि । स्तु꣣वते꣢ । मा꣡व꣢꣯ते । व꣡सु꣢꣯ । न । किः꣣ । तत् । आ । मि꣣नाति । ते ॥२९६॥,https://www.xn--j2b3a4c.com/samveda/296,2025-12-06T06:50:03.829317
297,क꣡ ईं꣢ वेद सु꣣ते꣢꣫ सचा꣣ पि꣡ब꣢न्तं꣣ क꣡द्वयो꣢꣯ दधे । अ꣣यं꣡ यः पुरो꣢꣯ विभि꣣न꣡त्त्योज꣢꣯सा मन्दा꣣नः꣢ शि꣣प्र्य꣡न्ध꣢सः ॥२९७॥,बृहती,इन्द्रः,मेध्यातिथिः काण्वः,कः꣢ । ई꣣म् । वेद । सुते꣢ । स꣡चा꣢꣯ । पि꣡ब꣢꣯न्तम् । कत् । व꣡यः꣢꣯ । द꣣धे । अय꣢म् । यः । पु꣡रः꣢꣯ । वि꣣भिन꣡त्ति꣢ । वि꣣ । भिन꣡त्ति꣢ । ओ꣡ज꣢꣯सा । म꣣न्दानः꣢ । शि꣣प्री꣢ । अ꣡न्ध꣢꣯सः ॥२९७॥,https://www.xn--j2b3a4c.com/samveda/297,2025-12-06T06:50:05.261204
299,त्व꣡ष्टा꣢ नो꣣ दै꣢व्यं꣣ व꣡चः꣢ प꣣र्ज꣢न्यो꣣ ब्र꣡ह्म꣢ण꣣स्प꣡तिः꣢ । पु꣢त्रै꣡र्भ्रातृ꣢꣯भि꣣र꣡दि꣢ति꣣र्नु꣡ पा꣢तु नो दु꣣ष्ट꣢रं꣣ त्रा꣡म꣢णं꣣ व꣡चः꣢ ॥२९९॥,बृहती,"त्वष्टा, पर्जन्यः, ब्रह्मणस्पतिः, अदितिः",वामदेवो गौतमः,त्व꣡ष्टा꣢꣯ । नः꣣ । दै꣡व्य꣢꣯म् । व꣡चः꣢꣯ । प꣣र्ज꣡न्यः꣢ । ब्र꣡ह्म꣢꣯णः । प꣡तिः꣢꣯ । पु꣣त्रैः꣢ । पु꣣त् । त्रैः꣢ । भ्रा꣡तृ꣢भिः । अ꣡दि꣢꣯तिः । अ । दि꣣तिः । नु꣢ । पा꣣तु । नः । दुष्ट꣡र꣢म् । दुः꣣ । त꣡र꣢꣯म् । त्रा꣡म꣢꣯णम् । व꣡चः꣢꣯ ॥२९९॥,https://www.xn--j2b3a4c.com/samveda/299,2025-12-06T06:50:09.502013
300,क꣣दा꣢ च꣣न꣢ स्त꣣री꣡र꣢सि꣣ ने꣡न्द्र꣢ सश्चसि दा꣣शु꣡षे꣢ । उ꣢पो꣣पे꣡न्नु म꣢꣯घ꣣वन्भू꣢य꣣ इ꣢꣯न्नु ते꣣ दा꣡नं꣢ दे꣣व꣡स्य꣢ पृच्यते ॥३००॥,बृहती,इन्द्रः,श्रुष्टिगुः काण्वः,क꣣दा꣢ । च꣣ । न꣢ । स्त꣣रीः꣢ । अ꣣सि । न꣢ । इ꣣न्द्र । सश्चसि । दाशु꣡षे꣢ । उ꣡पो꣢꣯प । उ꣡प꣢꣯ । उ꣣प । इ꣢त् । नु । म꣣घवन् । भू꣡यः꣢꣯ । इत् । नु । ते꣣ । दा꣡न꣢꣯म् । दे꣣व꣡स्य꣢ । पृ꣣च्यते ॥३००॥,https://www.xn--j2b3a4c.com/samveda/300,2025-12-06T06:50:11.318174
301,यु꣣ङ्क्ष्वा꣡ हि वृ꣢꣯त्रहन्तम꣣ ह꣡री꣢ इन्द्र परा꣣व꣡तः꣢ । अ꣣र्वाचीनो꣡ म꣢घव꣣न्त्सो꣡म꣢पीतय उ꣣ग्र꣢ ऋ꣣ष्वे꣢भि꣣रा꣡ ग꣢हि ॥३०१॥,बृहती,इन्द्रः,मेध्यातिथिः काण्वः,यु꣣ङ्क्ष्व꣢ । हि । वृ꣣त्रहन्तम । वृत्र । हन्तम । ह꣢रीइ꣡ति꣢ । इ꣣न्द्र । पराव꣡तः꣢ । अ꣣र्वाचीनः꣢ । अ꣣र्वा । अचीनः꣢ । म꣣घवन् । सो꣡म꣢꣯पीतये । सो꣡म꣢꣯ । पी꣣तये । उग्रः꣢ । ऋ꣣ष्वे꣡भिः꣢ । आ । ग꣣हि ॥३०१॥,https://www.xn--j2b3a4c.com/samveda/301,2025-12-06T06:50:14.315134
302,त्वा꣢मि꣣दा꣡ ह्यो नरोऽपी꣢꣯प्यन्वज्रि꣣न्भू꣡र्ण꣢यः । स꣡ इ꣢न्द्र꣣ स्तो꣡म꣢वाहस इ꣣ह꣡ श्रु꣣ध्यु꣢प꣣ स्व꣡स꣢र꣣मा꣡ ग꣢हि ॥३०२॥,बृहती,इन्द्रः,नृमेध आङ्गिरसः,त्वा꣢म् । इ꣣दा꣢ । ह्यः । न꣡रः꣢꣯ । अ꣡पी꣢꣯प्यन् । व꣣ज्रिन् । भू꣡र्ण꣢꣯यः । सः । इ꣣न्द्र । स्तो꣡म꣢꣯वाहसः । स्तो꣡म꣢꣯ । वा꣣हसः । इह꣢ । श्रु꣣धि । उ꣡प꣢꣯ । स्व꣡स꣢꣯रम् । आ । ग꣣हि ॥३०२॥,https://www.xn--j2b3a4c.com/samveda/302,2025-12-06T06:50:16.328370
303,प्र꣡त्यु꣢ अदर्श्याय꣣त्यू꣢३꣱च्छ꣡न्ती꣢ दुहि꣣ता꣢ दि꣣वः꣢ । अ꣡पो꣢ म꣣ही꣡ वृ꣢णुते꣣ च꣡क्षु꣢षा꣣ त꣢मो꣣ ज्यो꣡ति꣢ष्कृणोति सू꣣न꣡री꣢ ॥३०३॥,बृहती,उषाः,वसिष्ठो मैत्रावरुणिः,प्र꣡ति꣢꣯ । उ꣣ । अदर्शि । आयती꣢ । आ꣣ । यती꣢ । उ꣣च्छ꣡न्ती꣢ । दुहि꣣ता꣢ । दि꣣वः꣢ । अ꣡प꣢꣯ । उ꣣ । मही꣢ । वृ꣣णुते । च꣡क्षु꣢꣯षा । त꣡मः꣢ । ज्यो꣡तिः꣢꣯ । कृ꣣णोति । सून꣡री꣢ । सु꣣ । न꣡री꣢꣯ ॥३०३॥,https://www.xn--j2b3a4c.com/samveda/303,2025-12-06T06:50:19.342578
304,इ꣣मा꣡ उ꣢ वां꣣ दि꣡वि꣢ष्टय उ꣣स्रा꣡ ह꣢वन्ते अश्विना । अ꣣यं꣡ वा꣢म꣣ह्वे꣡ऽव꣢से शचीवसू꣣ वि꣡शं꣢ विश꣣ꣳ हि꣡ गच्छ꣢꣯थः ॥३०४,बृहती,अश्विनौ,वसिष्ठो मैत्रावरुणिः,इ꣣माः꣢ । उ꣣ । वाम् । दि꣡वि꣢꣯ष्टयः । उ꣣स्रा꣢ । उ꣣ । स्रा꣢ । ह꣣वन्ते । अश्विना । अय꣢म् । वा꣣म् । अह्वे । अ꣡व꣢꣯से । श꣣चीवसू । शची । वसूइ꣡ति꣢ । वि꣡शं꣢꣯विशम् । वि꣡श꣢꣯म् । वि꣣शम् । हि꣢ । ग꣡च्छ꣢꣯थः ॥३०४॥,https://www.xn--j2b3a4c.com/samveda/304,2025-12-06T06:50:21.288701
305,कु꣢ष्ठः꣣ को꣡ वा꣢मश्विना तपा꣣नो꣡ दे꣢वा꣣ म꣡र्त्यः꣢ । घ्न꣣ता꣡ वा꣢मश्न꣣या꣡ क्षप꣢꣯माणो꣣ꣳशु꣢ने꣣त्थ꣢मु꣣ आ꣢द्व꣣न्य꣡था꣢ ॥३०५,बृहती,अश्विनौ,अश्विनौ वैवस्वतौ,कु꣢ । स्थः꣣ । कः꣢ । वा꣣म् । अश्विना । तपानः꣢ । दे꣢वा । म꣡र्त्यः꣢꣯ । घ्न꣣ता꣢ । वा꣣म् । अश्नया꣢ । क्ष꣡प꣢꣯माणः । अं꣣ऽशु꣡ना꣢ । इ꣣त्थ꣢म् । उ꣣ । आ꣢त् । उ꣣ । अन्य꣡था꣢ । अ꣣न् । य꣡था꣢꣯ ॥३०५॥,https://www.xn--j2b3a4c.com/samveda/305,2025-12-06T06:50:22.949399
306,अ꣣यं꣢ वां꣣ म꣡धु꣢मत्तमः सु꣣तः꣢꣫ सोमो꣣ दि꣡वि꣢ष्टिषु । त꣡म꣢श्विना पिबतं ति꣣रो꣡अ꣢ह्न्यं ध꣣त्त꣡ꣳ रत्ना꣢꣯नि दा꣣शु꣡षे꣢ ॥३०६॥,बृहती,इन्द्रः,प्रस्कण्वः काण्वः,अ꣣य꣢म् । वा꣣म् । म꣡धु꣢꣯मत्तमः । सु꣣तः꣢ । सो꣡मः꣢꣯ । दि꣡वि꣢꣯ष्टिषु । तं । अ꣣श्विना । पिबतम् । तिरो꣡अ꣢ह्न्यम् । ति꣣रः꣢ । अ꣣ह्न्यम् । धत्त꣢म् । र꣡त्ना꣢꣯नि । दा꣣शु꣡षे꣢ ॥३०६॥,https://www.xn--j2b3a4c.com/samveda/306,2025-12-06T06:50:25.020399
307,आ꣢ त्वा꣣ सो꣡म꣢स्य꣣ ग꣡ल्द꣢या꣣ स꣢दा꣣ या꣡च꣢न्न꣣हं꣡ ज्या꣢ । भू꣡र्णिं꣢ मृ꣣गं꣡ न सव꣢꣯नेषु चुक्रुधं꣣ क꣡ ईशा꣢꣯नं꣣ न या꣢चिषत् ॥३०७॥,बृहती,इन्द्रः,मेधातिथि0मेध्यातिथी काण्वौ,आ꣢ । त्वा꣣ । सो꣡म꣢꣯स्य । ग꣡ल्द꣢꣯या । स꣣दा꣢꣯ । या꣡च꣢꣯न् । अ꣣हम् । ज्या꣣ । भू꣡र्णि꣢꣯म् । मृ꣣ग꣢म् । न । स꣡व꣢꣯नेषु । चु꣣क्रुधम् । कः꣢ । ई꣡शा꣢꣯नम् । न । या꣣चिषत् ॥३०७॥,https://www.xn--j2b3a4c.com/samveda/307,2025-12-06T06:50:26.629553
310,य꣡दि꣢न्द्र꣣ या꣡व꣢त꣣स्त्व꣢मे꣣ता꣡व꣢द꣣ह꣡मीशी꣢꣯य । स्तो꣣ता꣢र꣣मि꣡द्द꣢धिषे रदावसो꣣ न꣡ पा꣢प꣣त्वा꣡य꣢ रꣳसिषम् ॥३१०॥,बृहती,इन्द्रः,वसिष्ठो मैत्रावरुणिः,य꣢त् । इ꣣न्द्र । या꣡व꣢꣯तः । त्वम् । ए꣣ता꣡व꣢त् । अ꣣ह꣢म् । ई꣡शी꣢꣯य । स्तो꣣ता꣡र꣢म् । इत् । द꣣धिषे । रदावसो꣣ । रद । वसो । न꣢ । पा꣣पत्वा꣡य꣢ । रं꣣ऽसिषम् ॥३१०॥,https://www.xn--j2b3a4c.com/samveda/310,2025-12-06T06:50:31.891787
312,प्र꣡ यो रि꣢꣯रि꣣क्ष꣡ ओज꣢꣯सा दि꣣वः꣡ सदो꣢꣯भ्य꣣स्प꣡रि꣢ । न꣡ त्वा꣢ विव्याच꣣ र꣡ज꣢ इन्द्र꣣ पा꣡र्थि꣢व꣣म꣢ति꣣ वि꣡श्वं꣢ ववक्षिथ ॥३१२॥,बृहती,इन्द्रः,नोधा गौतमः,प्र꣢ । यः । रि꣣रिक्षे꣢ । ओ꣡ज꣢꣯सा । दि꣣वः꣢ । स꣡दो꣢꣯भ्यः । प꣡रि꣢꣯ । न । त्वा꣣ । विव्याच । र꣡जः꣢꣯ । इ꣣न्द्र । पा꣡र्थिव꣢꣯म् । अ꣡ति꣢ । वि꣡श्व꣢꣯म् । व꣣वक्षिथ ॥३१२॥,https://www.xn--j2b3a4c.com/samveda/312,2025-12-06T06:50:36.337565
313,अ꣡सा꣢वि दे꣣वं꣡ गोऋ꣢꣯जीक꣣म꣢न्धो꣣꣬ न्य꣢꣯स्मि꣢न्नि꣡न्द्रो꣢ ज꣣नु꣡षे꣢मुवोच । बो꣡धा꣢मसि त्वा हर्यश्व यज्ञै꣣र्बो꣡धा꣢꣯ न꣣ स्तो꣢म꣣म꣡न्ध꣢सो꣣ म꣡दे꣢षु ॥३१३॥,त्रिष्टुप्,इन्द्रः,वसिष्ठो मैत्रावरुणिः,अ꣡सा꣢꣯वि । दे꣣व꣢म् । गो꣡ऋजी꣢꣯कम् । गो । ऋ꣣जीकम् । अ꣡न्धः꣢꣯ । नि । अ꣣स्मिन् । इ꣡न्द्रः꣢꣯ । ज꣣नु꣡षा꣢ । ई꣣म् । उवोच । बो꣡धा꣢꣯मसि । त्वा꣣ । हर्यश्व । हरि । अश्व । यज्ञैः꣢ । बो꣡ध꣢꣯ । नः꣣ । स्तो꣡म꣢꣯म् । अ꣡न्ध꣢꣯सः । म꣡दे꣢꣯षु ॥३१३॥,https://www.xn--j2b3a4c.com/samveda/313,2025-12-06T06:50:39.558472
314,यो꣡नि꣢ष्ट इन्द्र꣣ स꣡द꣢ने अकारि꣣ त꣡मा नृभिः꣢꣯ पुरूहूत꣣ प्र꣡ या꣢हि । अ꣢सो꣣ य꣡था꣢ नोऽवि꣣ता꣢ वृ꣣ध꣢श्चि꣣द्द꣢दो꣣ व꣡सू꣢नि म꣣म꣡द꣢श्च꣣ सो꣡मैः꣢ ॥३१४॥,त्रिष्टुप्,इन्द्रः,वसिष्ठो मैत्रावरुणिः,यो꣡निः꣢꣯ । ते꣣ । इन्द्र । स꣡द꣢꣯ने । अ꣣कारि । त꣢म् । आ । नृ꣡भिः꣢꣯ । पु꣣रूहूत । पुरु । हूत । प्र꣢ । या꣢हि । अ꣡सः꣢꣯ । य꣡था꣢꣯ । नः꣣ । अविता꣢ । वृ꣣धः꣢ । चि꣣त् । द꣡दः꣢꣯ । व꣡सू꣢꣯नि । म꣣म꣡दः꣢ । च꣣ । सो꣡मैः꣢꣯ ॥३१४॥,https://www.xn--j2b3a4c.com/samveda/314,2025-12-06T06:50:42.255488
315,अ꣡द꣢र्द꣣रु꣢त्स꣣म꣡सृ꣢जो꣣ वि꣢꣫ खानि꣣ त्व꣡म꣢र्ण꣣वा꣡न्ब꣢द्बधा꣣ना꣡ꣳ अ꣢रम्णाः । म꣣हा꣡न्त꣢मिन्द्र꣣ प꣡र्व꣢तं꣣ वि꣢꣫ यद्वः सृ꣣ज꣢꣫द्धा꣣रा अ꣢व꣣ य꣡द्दा꣢न꣣वा꣢न्हन् ॥३१५॥,त्रिष्टुप्,इन्द्रः,गातुरात्रेयः,अ꣡द꣢꣯र्दः । उ꣡त्स꣢꣯म् । उत् । स꣣म् । अ꣡सृ꣢꣯जः । वि । खा꣡नि꣢꣯ । त्वम् । अ꣣र्णवा꣢न् । ब꣣द्बधा꣣नान् । अ꣢रम्णाः । महा꣡न्त꣢म् । इ꣣न्द्र प꣡र्व꣢꣯तम् । वि । यत् । व꣡रिति꣢ । सृ꣣ज꣢त् । धा꣡राः꣢꣯ । अ꣡व꣢꣯ । यत् । दा꣣नवा꣢न् । ह꣣न् ॥३१५॥,https://www.xn--j2b3a4c.com/samveda/315,2025-12-06T06:50:45.954421
316,सु꣣ष्वाणा꣡स꣢ इन्द्र स्तु꣣म꣡सि꣢ त्वा सनि꣣ष्य꣡न्त꣢श्चित्तुविनृम्ण꣣ वा꣡ज꣢म् । आ꣡ नो꣢ भर सुवि꣣तं꣡ यस्य꣢꣯ को꣣ना꣢꣫ तना꣣ त्म꣡ना꣢ सह्यामा꣣त्वो꣡ताः꣢ ॥३१६॥,त्रिष्टुप्,इन्द्रः,पृथुर्वैन्यः,सु꣣ष्वाणा꣡सः꣢ । इ꣣न्द्र । स्तुम꣡सि꣢ । त्वा꣣ । सनिष्य꣡न्तः꣢ । चि꣣त् । तुविनृम्ण । तुवि । नृम्ण । वा꣡ज꣢꣯म् । आ । नः꣣ । भर । सुवित꣢म् । य꣡स्य꣢꣯ । को꣣ना꣢ । त꣡ना꣢꣯ । त्म꣡ना꣢꣯ । स꣣ह्याम । त्वो꣡ताः꣢꣯ । त्वा । उ꣣ताः ॥३१६॥,https://www.xn--j2b3a4c.com/samveda/316,2025-12-06T06:50:48.303029
317,ज꣣गृह्मा꣢ ते꣣ द꣡क्षि꣢णमिन्द्र꣣ ह꣡स्तं꣢ वसू꣣य꣡वो꣢ वसुपते꣣ व꣡सू꣢नाम् । वि꣣द्मा꣢꣫ हि त्वा꣣ गो꣡प꣢तिꣳ शूर꣣ गो꣡ना꣢म꣣स्म꣡भ्यं꣢ चि꣣त्रं꣡ वृष꣢꣯णꣳ र꣣यिं꣡ दाः꣢ ॥३१७॥,त्रिष्टुप्,इन्द्रः,सप्तगुराङ्गिरसः,ज꣣गृह्म꣢ । ते꣣ । द꣡क्षि꣢꣯णम् । इ꣣न्द्र । ह꣡स्त꣢꣯म् । व꣣सूय꣡वः꣢ । व꣣सुपते । वसु । पते । व꣡सू꣢꣯नाम् । वि꣣द्म꣢ । हि । त्वा꣣ । गो꣡प꣢꣯तिम् । गो । प꣣तिम् । शूर । गो꣡ना꣢꣯म् । अ꣣स्म꣡भ्य꣢म् । चि꣣त्र꣢म् । वृ꣡ष꣢꣯णम् । र꣣यि꣢म् । दाः꣣ ॥३१७॥,https://www.xn--j2b3a4c.com/samveda/317,2025-12-06T06:50:50.192841
